순번,의료기관명,의료기관종,의료기관주소(도로명),의료기관전화번호,등록기준일,읍면동명
212,한양가정의학과의원,의원,세종특별자치시 조치원읍 새내로 68,044-715-7580,2022-11-15,조치원읍
213,선비뇨기과의원,의원,세종특별자치시 조치원읍 조치원로 26,044-868-8866,2022-11-15,조치원읍
214,김형기신경외과의원,의원,세종특별자치시 조치원읍 새내로 132,044-868-7574,2022-11-15,조치원읍
215,부영의원,의원,세종특별자치시 부강면 부강로 37-1 1~2층,044-275-3782,2022-11-15,부강면
216,문내과의원,의원,세종특별자치시 조치원읍 조치원로 22,044-867-6551,2022-11-15,조치원읍
217,연세신경외과의원,의원,세종특별자치시 조치원읍 새내로 75,044-865-2116,2022-11-15,조치원읍
218,한사랑산부인과의원,의원,세종특별자치시 조치원읍 새내로 122 (세종시네마 1동 301호 302호 303호 304호305호),044-867-8433,2022-11-15,조치원읍
219,부부내과의원,의원,세종특별자치시 금남면 용포로 113,044-866-0345,2022-11-15,금남면
220,한마음의원,의원,세종특별자치시 부강면 부강4길 10,044-277-6446,2022-11-15,부강면
221,양규준산부인과의원,의원,세종특별자치시 조치원읍 새내로 96,044-862-8811,2022-11-15,조치원읍
222,제일신경과의원,의원,세종특별자치시 조치원읍 새내로 88-1 2층,044-862-8275,2022-11-15,조치원읍
223,중앙의원,의원,세종특별자치시 전의면 읍내길 20,044-862-4408,2022-11-15,전의면
224,이안과의원,의원,세종특별자치시 조치원읍 새내로 98,044-866-7863,2022-11-15,조치원읍
225,김내과의원,의원,세종특별자치시 조치원읍 새내로 98,044-862-3575,2022-11-15,조치원읍
226,우리들의원,의원,세종특별자치시 장군면 장척로 401,044-857-2345,2022-11-15,장군면
227,정비뇨기과의원,의원,세종특별자치시 조치원읍 새내로 97 4층 402호,044-867-5350,2022-11-15,조치원읍
228,유경의원,의원,세종특별자치시 부강면 부강2길 14,044-275-2160,2022-11-15,부강면
229,장현진정형외과의원,의원,세종특별자치시 조치원읍 조치원로 62,044-863-1150,2022-11-15,조치원읍
230,백내과의원,의원,세종특별자치시 조치원읍 조치원2길 5 2~4층,044-862-3838,2022-11-15,조치원읍
231,성가정신건강의학과의원,의원,세종특별자치시 조치원읍 새내로 97 5층 1호,044-867-5357,2022-11-15,조치원읍
232,중앙외과의원,의원,세종특별자치시 조치원읍 새내4길 3,044-867-0001,2022-11-15,조치원읍
233,시원이비인후과의원,의원,세종특별자치시 다정중앙로 52 페스티발2 507~509호 (다정동),044-865-2340,2022-11-15,다정동
234,부강제일의원,의원,세종특별자치시 부강면 부강5길 11-1,044-275-3330,2022-11-15,부강면
235,누가연합의원,의원,세종특별자치시 전의면 읍내길 7,044-863-0494,2022-11-15,전의면
236,서울외과의원,의원,세종특별자치시 조치원읍 새내로 68-1,044-863-4912,2022-11-15,조치원읍
237,서울의원,의원,세종특별자치시 금남면 용포로 53,044-866-7985,2022-11-15,금남면
238,성심외과의원,의원,세종특별자치시 조치원읍 새내로 113,044-865-3616,2022-11-15,조치원읍
239,이내과의원,의원,세종특별자치시 조치원읍 조치원로 31,044-865-3571,2022-11-15,조치원읍
240,전의의원,의원,세종특별자치시 전의면 읍내길 13,044-863-2828,2022-11-15,전의면
241,유디치과의원,치과의원,세종특별자치시 나성로 38 세종가로수길 A301A302aA302A303호 (나성동),044-715-7188,2022-11-15,나성동
242,세종꾸러기소아치과의원,치과의원,세종특별자치시 한누리대로 2012 코끼리타워 301302303호 (소담동),044-417-6991,2022-11-15,소담동
243,연세해밀치과의원,치과의원,세종특별자치시 해밀3로 43 스카이드림 504호 (해밀동),044-863-2879,2022-11-15,해밀동
244,당신의치과의원,치과의원,세종특별자치시 해밀3로 51 스카이허브 404405호 (해밀동),044-862-0028,2022-11-15,해밀동
245,마음편한치과의원,치과의원,세종특별자치시 남세종로 458 아리랑빌딩 303호 (보람동),044-867-2804,2022-11-15,보람동
246,세종365치과의원,치과의원,세종특별자치시 한누리대로 245 에스알파크원 402403호 (나성동),044-715-5365,2022-11-15,나성동
247,이도치과의원,치과의원,세종특별자치시 한누리대로 275 형성프라자 501502503호 (나성동),044-867-7525,2022-11-15,나성동
248,덴탈365치과의원,치과의원,세종특별자치시 한누리대로 1958 법조타운A 3층 301~310호 (소담동),1661-3275,2022-11-15,소담동
249,앨리스치과의원,치과의원,세종특별자치시 한누리대로 265 명동프라자 5층 (나성동),044-417-1511,2022-11-15,나성동
250,바른뿌리치과의원,치과의원,세종특별자치시 조치원읍 새내8길 7 2층,044-868-2804,2022-11-15,조치원읍
251,메디컬뱅크치과의원,치과의원,세종특별자치시 한누리대로 350 뱅크빌딩 4층 2호 (어진동),044-862-2873,2022-11-15,어진동
252,디어트치과의원,치과의원,세종특별자치시 한누리대로 2275 알파메디컬센터 303~306호 (대평동),1522-1998,2022-11-15,대평동
253,세종튼튼치과의원,치과의원,세종특별자치시 한누리대로 1824 401402호 (반곡동),044-866-2007,2022-11-15,반곡동
254,유앤성부부치과의원,치과의원,세종특별자치시 한누리대로 1820 왕관빌딩 407~408호 (반곡동),044-862-7522,2022-11-15,반곡동
255,바른치과의원,치과의원,세종특별자치시 한누리대로 253 에스빌딩 502호 (나성동),044-868-2882,2022-11-15,나성동
256,세종드림치과의원,치과의원,세종특별자치시 한누리대로 2143 금강시티타워 405406호 (보람동),044-868-2815,2022-11-15,보람동
257,황실치과의원,치과의원,세종특별자치시 한누리대로 2281 SM메디컬센터 410호 (대평동),044-866-2888,2022-11-15,대평동
258,세종하이치과의원,치과의원,세종특별자치시 한누리대로 1828 시드니블루 403호404호호 (반곡동),044-862-7700,2022-11-15,반곡동
259,이편한홍치과의원,치과의원,세종특별자치시 연서면 봉암길 8,044-862-2811,2022-11-15,연서면
260,서울이사랑치과의원,치과의원,세종특별자치시 조치원읍 세종로 2282 302303320호,044-864-2840,2022-11-15,조치원읍
261,더브라운치과의원,치과의원,세종특별자치시 마음로 272-3 고운에듀프라자 303304호 (고운동),044-865-2929,2022-11-15,고운동
262,전의부부치과의원,치과의원,세종특별자치시 전의면 운주산로 1191 2층,044-862-2280,2022-11-15,전의면
263,연세탑치과의원,치과의원,세종특별자치시 조치원읍 조치원8길 6 2층,044-863-2844,2022-11-15,조치원읍
264,건강한이치과의원,치과의원,세종특별자치시 다정중앙로 45 다정프라자 303호 (다정동),044-865-7520,2022-11-15,다정동
265,해들치과의원,치과의원,세종특별자치시 한누리대로 2257 판타지타워 305호 (대평동),044-862-2804,2022-11-15,대평동
266,김만주정성치과의원,치과의원,세종특별자치시 소담1로 16 지엘플렉스2 404호 (소담동),044-865-2080,2022-11-15,소담동
267,엔연세감동치과의원,치과의원,세종특별자치시 새롬중앙로 33 새뜸프라자 303 304호 (새롬동),044-868-7523,2022-11-15,새롬동
268,연세올바른치과의원,치과의원,세종특별자치시 다정중앙로 58 다정메디프라자 302303호 (다정동),044-862-2622,2022-11-15,다정동
269,도치소아치과의원,치과의원,세종특별자치시 다정중앙로 51 더다정빌딩 505호 (다정동),044-865-5200,2022-11-15,다정동
270,연세세브란스치과의원,치과의원,세종특별자치시 다정중앙로 57 다정센타프라자 305호 (다정동),044-715-5000,2022-11-15,다정동
271,연세감동치과의원,치과의원,세종특별자치시 한누리대로 2022 404호405호 (소담동 아크레타 아이콤스타타워),044-868-7522,2022-11-15,소담동
272,새온치과의원,치과의원,세종특별자치시 새롬중앙로 67 304호 (새롬동 오렌지빌딩),044-867-2842,2022-11-15,새롬동
273,금동치과의원,치과의원,세종특별자치시 새롬중앙로 62-15 505호 (새롬동 해피라움W),044-866-9037,2022-11-15,새롬동
274,세종탑치과의원,치과의원,세종특별자치시 새롬중앙로 59 303호 (새롬동 새롬빌딩),044-715-7528,2022-11-15,새롬동
275,제이와이치과의원,치과의원,세종특별자치시 새롬중앙로 64 404호 (새롬동 세종영광프라자),044-867-5600,2022-11-15,새롬동
276,새롬숲치과의원,치과의원,세종특별자치시 새롬중앙로 34 311호 (새롬동 크리스마스빌딩),044-999-2577,2022-11-15,새롬동
277,세종스타치과의원,치과의원,세종특별자치시 나성로 125-16 7~8층 (나성동 스타타워),044-905-2222,2022-11-15,나성동
278,바른우리치과교정과치과의원,치과의원,세종특별자치시 새롬중앙로 64 301~302호 (새롬동 세종영광프라자),044-998-2080,2022-11-15,새롬동
279,심치과의원,치과의원,세종특별자치시 새롬중앙로 47 405호 (새롬동 세움빌딩),044-862-2871,2022-11-15,새롬동
280,서울소담치과의원,치과의원,세종특별자치시 한누리대로 2018 304~305호 (소담동 사이언스타운),044-865-2811,2022-11-15,소담동
281,연세고마운치과의원,치과의원,세종특별자치시 한누리대로 249 406~407호 (나성동 에스제이타워),044-866-2872,2022-11-15,나성동
282,세종보람치과의원,치과의원,세종특별자치시 남세종로 466 403호 (보람동 아평빌딩),044-863-7522,2022-11-15,보람동
283,참좋아치과의원,치과의원,세종특별자치시 보듬3로 143 304305306호 (아름동 대영프라자),044-864-8575,2022-11-15,아름동
284,더플랜트치과의원,치과의원,세종특별자치시 아름서1길 13-12 403404호 (아름동 제이디빌딩),044-998-2875,2022-11-15,아름동
285,세종프라임치과의원,치과의원,세종특별자치시 한누리대로 499 402호 (어진동 세종미디어프라자),044-868-3522,2022-11-15,아름동
286,수치과의원,치과의원,세종특별자치시 절재로 194 508호 (어진동 중앙타운),044-864-5369,2022-11-15,어진동
287,이사랑치과의원,치과의원,세종특별자치시 한누리대로 2257 판타지타워 203호 (대평동),044-868-0037,2022-11-15,대평동
288,세종미소치과의원,치과의원,세종특별자치시  한누리대로 2135 302303301호 (보람동 스타힐타워1) (보람동),044-864-4936,2022-11-15,보람동
289,삼성온가족치과의원,치과의원,세종특별자치시 도움1로 106 510호 (종촌동 메가시티),044-865-2843,2022-11-15,종촌동
290,도담민들레치과의원,치과의원,세종특별자치시 보듬3로 8-27 403-1호 (도담동 새한빌딩),044-865-0102,2022-11-15,도담동
291,세종금남치과의원,치과의원,세종특별자치시 금남면 용포로 80 2층,044-863-5275,2022-11-15,금남면
292,연세럭스치과의원,치과의원,세종특별자치시 보듬3로 100 해피라움1 204205호 (아름동),044-864-2804,2022-11-15,아름동
293,화이트부부치과의원,치과의원,세종특별자치시 도움1로 108 410.411호 (종촌동 몰리브),044-865-2835,2022-11-15,종촌동
294,연세크리스마스치과의원,치과의원,세종특별자치시 마음로 70 302.303호 (고운동 에셀프라자),044-865-2075,2022-11-15,고운동
295,스마일치과의원,치과의원,세종특별자치시 마음로 74 그랜드프라자 202203호 (고운동),044-863-8575,2022-11-15,고운동
296,이병진치과의원,치과의원,세종특별자치시 조치원읍 조치원로 7 3층,044-862-2812,2022-11-15,조치원읍
297,서울봄빛치과의원,치과의원,세종특별자치시 절재로 194 중앙타운 401402405호 (어진동),044-867-1575,2022-11-15,어진동
298,성원치과의원,치과의원,세종특별자치시 절재로 194 408.409호 (어진동 세종드림),044-868-6091,2022-11-15,어진동
299,패밀리치과의원,치과의원,세종특별자치시 달빛로 47 301호 (종촌동 종촌파크프라자),044-866-2804,2022-11-15,종촌동
300,첫마을치과의원,치과의원,세종특별자치시 한누리대로 165 세종메디피아 302303호 (나성동),044-867-2275,2022-11-15,나성동
301,원 치과의원,치과의원,세종특별자치시 장군면 장척로 407 2층,044-864-2827,2022-11-15,장군면
302,서울바른이치과의원,치과의원,세종특별자치시 다정중앙로 39 다정센터프라자2 504호 (다정동),044-863-2282,2022-11-15,다정동
303,세종 어린이 치과의원,치과의원,세종특별자치시 보듬3로 91 305호 (아름동 해피라움4상가),044-865-7502,2022-11-15,아름동
304,모드니 치과의원,치과의원,세종특별자치시 금송로 687 3층 (가람동 이마트세종점),044-864-2876,2022-11-15,가람동
305,우리치과의원,치과의원,세종특별자치시 도움3로 105-5 402.403호 (종촌동 종촌중앙프라자),044-865-0231,2022-11-15,종촌동
306,바른명치과의원,치과의원,세종특별자치시 한누리대로 583 도담센트럴프라자 302303304504505호 (도담동),044-864-2824,2022-11-15,도담동
307,좋은하루 치과의원,치과의원,세종특별자치시 보듬4로 9 3층 89호 (도담동 도램마을11단지),044-998-7599,2022-11-15,도담동
308,맘애든치과의원,치과의원,세종특별자치시 도움3로 105-8 501.502호 (종촌동 신목빌딩),044-862-2874,2022-11-15,종촌동
309,두치과의원,치과의원,세종특별자치시 달빛로 59 402.403.404호 (종촌동 호만빌딩),044-868-2877,2022-11-15,종촌동
310,세종서울치과의원,치과의원,세종특별자치시 도움3로 105-7 501호 (종촌동 메디케어빌딩),044-863-7528,2022-11-15,종촌동
311,세움치과의원,치과의원,세종특별자치시 보듬3로 92 310호 (아름동 해피라움2상가),044-862-2755,2022-11-15,아름동
312,세종베스트치과의원,치과의원,세종특별자치시 보듬3로 92 407.408호 (아름동 해피라움2상가),044-865-7528,2022-11-15,아름동
313,강남치과의원,치과의원,세종특별자치시 금남면 용포로 63,044-867-7528,2022-11-15,금남면
314,아름치과의원,치과의원,세종특별자치시 보듬3로 92 206.207호 (아름동 해피라움2상가),044-863-2833,2022-11-15,아름동
315,서울굿모닝치과의원,치과의원,세종특별자치시 도움3로 105-5 505.506호 (종촌동 종촌중앙프라자),044-865-2833,2022-11-15,종촌동
316,서울좋은치과의원,치과의원,세종특별자치시 한누리대로 193 301호 (나성동 참미르빌딩),044-862-7528,2022-11-15,나성동
317,누리마루치과의원,치과의원,세종특별자치시 도움8로 81 A동 301호 (어진동),044-865-2275,2022-11-15,어진동
318,세종플란트 치과의원,치과의원,세종특별자치시 한누리대로 157 (나성동 금강프라자304호),044-868-2875,2022-11-15,나성동
319,세종치과의원,치과의원,세종특별자치시 전의면 만세길 5 2층,044)862-7035,2022-11-15,전의면
320,한솔퍼스트치과의원,치과의원,세종특별자치시 새롬중앙로 62-15 201호 (새롬동 해피라움W),044)866-2275,2022-11-15,새롬동
321,최진웅치과의원,치과의원,세종특별자치시 조치원읍 새내로 122  (외 1필지 세종시네마 1동 204호),044-866-2835,2022-11-15,조치원읍
322,부강부부치과의원,치과의원,세종특별자치시 부강면 부촌길 39 1층,044-275-2855,2022-11-15,부강면
323,부부치과의원,치과의원,세종특별자치시 조치원읍 도원2로 39 (2층),044-868-2275,2022-11-15,조치원읍
324,문치과의원,치과의원,세종특별자치시 조치원읍 대첩로 75,044-862-2875,2022-11-15,조치원읍
325,플러스치과의원,치과의원,세종특별자치시 조치원읍 허만석로 60-1 (플러스타운 A동 201호),044-867-2870,2022-11-15,조치원읍
326,다인치과의원,치과의원,세종특별자치시 조치원읍 새내9길 3 23층,044-868-7527,2022-11-15,조치원읍
327,보성치과의원,치과의원,세종특별자치시 조치원읍 조치원2길 5,044-865-8879,2022-11-15,조치원읍
328,누가치과의원,치과의원,세종특별자치시 조치원읍 새내로 88-1 4층,044-864-2872,2022-11-15,조치원읍
329,이편한치과의원,치과의원,세종특별자치시 조치원읍 새내로 97 4층 1호,044-864-2875,2022-11-15,조치원읍
330,하얀치과의원,치과의원,세종특별자치시 조치원읍 조치원로 30,044-866-6200,2022-11-15,조치원읍
331,윤치과의원,치과의원,세종특별자치시 조치원읍 조치원로 38,044-867-4112,2022-11-15,조치원읍
332,새서울치과의원,치과의원,세종특별자치시 금남면 용포로 113,044-866-2875,2022-11-15,금남면
333,서울치과의원,치과의원,세종특별자치시 조치원읍 새내로 91 1.2.3층,044-867-2875,2022-11-15,조치원읍
334,김진용치과의원,치과의원,세종특별자치시 조치원읍 조치원로 22,044-866-9281,2022-11-15,조치원읍
335,송태영치과의원,치과의원,세종특별자치시 조치원읍 조치원로 31-1,044-865-2821,2022-11-15,조치원읍
336,부강수플란트치과의원,치과의원,세종특별자치시 부강면 부촌길 29,044-275-5585,2022-11-15,부강면
337,박종석치과의원,치과의원,세종특별자치시 조치원읍 장안로 1,044-862-4500,2022-11-15,조치원읍
338,이종선치과의원,치과의원,세종특별자치시 조치원읍 조치원로 31,044-865-6352,2022-11-15,조치원읍
339,동경한의원,한의원,세종특별자치시 소담3로 8 새샘마을7단지 근린생활시설 1층 5호 (소담동),044-865-7573,2022-11-15,소담동
340,백헌한의원,한의원,세종특별자치시 한누리대로 1828 시드니블루 407408호 (반곡동),044-415-1802,2022-11-15,반곡동
341,평강한의원,한의원,세종특별자치시 연기면 당산로 121 2층,044-864-8270,2022-11-15,연기면
342,세종센텀한의원,한의원,세종특별자치시 해밀3로 43 스카이드림 3층 301302호 (해밀동),044-868-6682,2022-11-15,해밀동
343,여담한의원,한의원,세종특별자치시 도움8로 91 세종마치 402호 (어진동),044-715-5868,2022-11-15,어진동
344,태이재한의원,한의원,세종특별자치시 한누리대로 2009 펠리체타워2 203호 (소담동),044-415-1919,2022-11-15,소담동
345,세종튼튼한의원,한의원,세종특별자치시 한누리대로 2257 판타지타워 205호 (대평동),044-868-0020,2022-11-15,대평동
346,자인한의원,한의원,세종특별자치시 새롬중앙로 63 세종온누리타워 202호203호 (새롬동),044-272-8875,2022-11-15,새롬동
347,세종맘한의원,한의원,세종특별자치시 한누리대로 265 명동프라자 6층 (나성동),044-868-9935,2022-11-15,나성동
348,한솔한의원,한의원,세종특별자치시 누리로 54 202호203호204-1호 (한솔동 첫마을5단지),044-863-4455,2022-11-15,한솔동
349,반곡한의원,한의원,세종특별자치시 한누리대로 1824 조이프라자 405~406호 (반곡동),044-216-6200,2022-11-15,반곡동
350,성진한의원,한의원,세종특별자치시 다정중앙로 57 다정센타프라자 203호 (다정동),044-903-0525,2022-11-15,다정동
351,아낌없이주는나무한의원,한의원,세종특별자치시 한누리대로 1820 왕관빌딩 503-1503-2504호 (반곡동),044-865-0002,2022-11-15,반곡동
352,생생당한의원,한의원,세종특별자치시 한누리대로 2144 스마트허브Ⅱ 301호 (보람동),044-868-3284,2022-11-15,보람동
353,동인한의원,한의원,세종특별자치시 호려울로 19 스마트허브Ⅲ 304호 (보람동),044-715-7512,2022-11-15,보람동
354,세종양지한의원,한의원,세종특별자치시 다정중앙로 39 다정센터프라자2 401402호 (다정동),044-868-5003,2022-11-15,다정동
355,목은한의원,한의원,세종특별자치시 한누리대로 169 세종행복타워 302호 (나성동),044-868-4775,2022-11-15,나성동
356,본한의원,한의원,세종특별자치시 한누리대로 2135 스타힐타워1 201202호 (보람동),044-862-7755,2022-11-15,보람동
357,약손한의원,한의원,세종특별자치시 한누리대로 2236 해들마을 6단지 상가동 2층 C214C215호 (대평동),044-867-1999,2022-11-15,대평동
358,해들한의원,한의원,세종특별자치시 한누리대로 2265 세종메디컬센터 308호 (대평동),044-868-7910,2022-11-15,대평동
359,경희으뜸한의원,한의원,세종특별자치시 다정중앙로 51 더다정빌딩 2층 203호 (다정동),044-868-1375,2022-11-15,다정동
360,이제한의원,한의원,세종특별자치시 새롬중앙로 67 오렌지빌딩 302 303호 (새롬동),044-715-7505,2022-11-15,새롬동
361,가온한의원,한의원,세종특별자치시 다정중앙로 51 더다정빌딩 504호 (다정동),044-866-1998,2022-11-15,다정동
362,이룸한의원,한의원,세종특별자치시 보듬4로 9 4F-6호 4F-7호호 (도담동 도램마을11단지),044-863-4107,2022-11-15,도담동
363,경희부부한의원,한의원,세종특별자치시 절재로 194 중앙타운 301호 (어진동),044-905-2200,2022-11-15,어진동
364,바로선한의원,한의원,세종특별자치시 새롬중앙로 33 새뜸프라자 201호302호 (새롬동),044-865-8572,2022-11-15,새롬동
365,경희바른몸한의원,한의원,세종특별자치시 한누리대로 2022 504호505호 (소담동 아크레타 아이콤스타타워),044-868-1015,2022-11-15,소담동
366,초목한의원,한의원,세종특별자치시 새롬중앙로 55 201호 (새롬동 행운빌딩),044-868-7520,2022-11-15,새롬동
367,새롬한의원,한의원,세종특별자치시 새롬중앙로 51 303호 (새롬동 에스월드빌딩),044-863-8375,2022-11-15,새롬동
368,청심당한의원,한의원,세종특별자치시 남세종로 454 403호 (보람동 강남제일타워),044-866-1875,2022-11-15,보람동
369,다정한의원,한의원,세종특별자치시 새롬중앙로 59 302호 (새롬동 새롬빌딩),044-868-1090,2022-11-15,새롬동
370,튼튼메디칼의원코뿔소한의원,한의원,세종특별자치시 절재로 194 512호 (어진동 중앙타운),044-864-8375,2022-11-15,어진동
371,사상참경희한의원,한의원,세종특별자치시 새롬중앙로 34 408호 (새롬동 크리스마스빌딩),044-999-1075,2022-11-15,새롬동
372,유심한의원,한의원,세종특별자치시 부강면 부강로 42 105.106.107호,044-868-0375,2022-11-15,부강면
373,평화당한의원,한의원,세종특별자치시 새롬중앙로 47 304호 (새롬동 세움빌딩),044-864-7600,2022-11-15,새롬동
374,봄뜰부부한의원,한의원,세종특별자치시 남세종로 466 303호 (보람동 아평빌딩),044-862-6193,2022-11-15,보람동
375,세종소담한의원,한의원,세종특별자치시 한누리대로 2018 407~408호 (소담동 사이언스타운),044-862-3500,2022-11-15,소담동
376,드림여성한의원,한의원,세종특별자치시 보듬3로 143 402호 (아름동 대영프라자),044-865-7765,2022-11-15,아름동
377,맑은숲한의원,한의원,세종특별자치시 한누리대로 499 401호 (어진동 세종포스트빌딩),044-868-1085,2022-11-15,어진동
378,종화한의원,한의원,세종특별자치시 한누리대로 249 307호 (나성동 에스제이타워),044-867-6262,2022-11-15,나성동
379,금강한의원,한의원,세종특별자치시 조치원읍 조치원로 24 23층,044-862-5310,2022-11-15,조치원읍
380,장효길한의원,한의원,세종특별자치시 한누리대로 2143 407호 (보람동 금강시티타워),044-867-8758,2022-11-15,보람동
381,용한의원,한의원,세종특별자치시 한누리대로 253 202호 (나성동 에스빌딩),044-868-9075,2022-11-15,나성동
382,경희고운한의원,한의원,세종특별자치시 마음로 264 301층 (고운동 고운프라자),044-864-9575,2022-11-15,고운동
383,현가한의원,한의원,세종특별자치시 조치원읍 새내10길 12 2층,044-865-1075,2022-11-15,조치원읍
384,고운마음한의원,한의원,세종특별자치시 고운서길 19 304호 (고운동 스마트큐브1),044-863-7517,2022-11-15,고운동
385,산돌한의원,한의원,세종특별자치시 도움1로 106 메가시티 502508509514호 (종촌동),044-865-7585,2022-11-15,종촌동
386,세종함소아한의원,한의원,세종특별자치시 보듬3로 143 405406호 (아름동 대영프라자),044-868-8333,2022-11-15,아름동
387,에이스한의원,한의원,세종특별자치시 보듬3로 100 405-2호 (아름동 해피라움1),044-867-1076,2022-11-15,아름동
388,박소영한의원,한의원,세종특별자치시 도움1로 108 413호 (종촌동 몰리브),044-865-7075,2022-11-15,종촌동
389,숨편한세상한의원,한의원,세종특별자치시 도움1로 108 402-2.420호 (종촌동 몰리브),044-866-0175,2022-11-15,종촌동
390,광제중국한의원,한의원,세종특별자치시 조치원읍 조치원로 42 2층,044-865-8338,2022-11-15,조치원읍
391,자연치유한의원,한의원,세종특별자치시 금남면 청룡안길 114-112 1.2동 2.3층,044-864-0080,2022-11-15,금남면
392,행복경희한의원,한의원,세종특별자치시 고운서길 10 303호 (고운동 대현빌딩),044-867-7599,2022-11-15,고운동
393,으랏차한의원,한의원,세종특별자치시 절재로 194 407호 (어진동 세종드림),044-864-5671,2022-11-15,어진동
394,제일한의원,한의원,세종특별자치시 도움3로 105-7 302호 (종촌동 메디케어빌딩),044-862-2555,2022-11-15,종촌동
395,세종도담한의원,한의원,세종특별자치시 보듬3로 8-20 207호 (도담동 한신휴시티),044-864-5852,2022-11-15,도담동
396,경희한의원,한의원,세종특별자치시 한누리대로 583 403호 (도담동 도담센트럴프라자),044-862-1025,2022-11-15,도담동
397,계림한의원,한의원,세종특별자치시 다정중앙로 58 다정메디프라자 403호 (다정동),044-868-2355,2022-11-15,다정동
398,바른한의원,한의원,세종특별자치시 달빛로 59 호만빌딩 203호301호302호 (종촌동),044-868-0380,2022-11-15,종촌동
399,정토한의원,한의원,세종특별자치시 보듬3로 92 303호 (아름동 해피라움2상가),044-863-7588,2022-11-15,아름동
400,아름 한의원,한의원,세종특별자치시 보듬3로 104-19 303호 (아름동 세석빌딩),044-868-9600,2022-11-15,아름동
401,박승룡한의원,한의원,세종특별자치시 달빛로 47 202호 (종촌동 종촌파크프라자),044-867-2075,2022-11-15,종촌동
402,세종상신한의원,한의원,세종특별자치시 한누리대로 193 303호 (나성동 참미르메디칼),044-867-8275,2022-11-15,나성동
403,새봄빛한의원,한의원,세종특별자치시 부강면 부강로 53 2층 201호 (세종클리닉),044-868-1075,2022-11-15,부강면
404,세종대일당한의원,한의원,세종특별자치시 한누리대로 157 (나성동 금강프라자 503호),044-866-0002,2022-11-15,나성동
405,유한의원,한의원,세종특별자치시 조치원읍 군청로 88 1층,044-868-9677,2022-11-15,조치원읍
406,세종경희한의원,한의원,세종특별자치시 한누리대로 165 세종메디피아 310호 (나성동),044-864-1075,2022-11-15,나성동
407,임재욱한의원,한의원,세종특별자치시 조치원읍 충현로 47,044-862-3333,2022-11-15,조치원읍
408,햇님한의원,한의원,세종특별자치시 소담1로 16 지엘플렉스2 302호 (소담동),044-866-6777,2022-11-15,소담동
409,마음그린한의원,한의원,세종특별자치시 조치원읍 새내6길 3,044-866-7510,2022-11-15,조치원읍
410,세종한의원,한의원,세종특별자치시 금남면 용포로 64 1.2층,044)866-2011,2022-11-15,금남면
411,부강한의원,한의원,세종특별자치시 부강면 부강1길 5,044-275-8155,2022-11-15,부강면
412,둥구나무한의원,한의원,세종특별자치시 금남면 용포로 58  ((2층)),044-866-7555,2022-11-15,금남면
413,행복한의원,한의원,세종특별자치시 장군면 장척로 405-2,044-856-0075,2022-11-15,장군면
414,원한의원,한의원,세종특별자치시 전의면 장터길 2-1,044-866-1122,2022-11-15,전의면
415,대성한의원,한의원,세종특별자치시 조치원읍 도원2로 39,044-862-3375,2022-11-15,조치원읍
416,경희일구한의원,한의원,세종특별자치시 조치원읍 새내로 88-2,044-863-7719,2022-11-15,조치원읍
417,제중한의원,한의원,세종특별자치시 조치원읍 조치원로 31-1,044-866-3331,2022-11-15,조치원읍
418,금빛한의원,한의원,세종특별자치시 조치원읍 새내로 123 2층,044-862-1358,2022-11-15,조치원읍
419,대중한의원,한의원,세종특별자치시 전의면 만세길 22,044-863-5253,2022-11-15,전의면
420,예림한의원,한의원,세종특별자치시 연서면 당산로 345,044-868-8880,2022-11-15,연서면
421,백상한의원,한의원,세종특별자치시 조치원읍 새내10길 13,044-865-0945,2022-11-15,조치원읍
422,태화당한의원,한의원,세종특별자치시 조치원읍 새내로 98,044-865-1991,2022-11-15,조치원읍
423,박성섭한의원,한의원,세종특별자치시 조치원읍 조치원4길 6,044-865-1985,2022-11-15,조치원읍
